target,feature,spearman_rho,spearman_abs,spearman_p,n
eval__dice,feat__global_uncertainty__mean_entropy,0.0,0.0,1.0,5
eval__dice,feat__global_uncertainty__max_entropy,,,,5
eval__dice,feat__global_uncertainty__mean_margin_uncertainty,0.0,0.0,1.0,5
eval__dice,feat__global_uncertainty__max_margin_uncertainty,-0.3,0.3,0.623837664781073,5
eval__dice,feat__global_uncertainty__foreground_area_frac,0.39999999999999997,0.39999999999999997,0.5046315754686912,5
eval__dice,feat__boundary_risk__pred_boundary_area_frac,0.39999999999999997,0.39999999999999997,0.5046315754686912,5
eval__dice,feat__boundary_risk__boundary_mean_entropy,-0.8999999999999998,0.8999999999999998,0.03738607346849875,5
eval__dice,feat__boundary_risk__boundary_max_entropy,,,,5
eval__dice,feat__boundary_risk__boundary_mean_margin_uncertainty,-0.8999999999999998,0.8999999999999998,0.03738607346849875,5
eval__dice,feat__boundary_risk__boundary_high_entropy_frac,-0.39999999999999997,0.39999999999999997,0.5046315754686912,5
eval__dice,feat__uncertainty_cluster__high_uncertainty_area_frac,0.7071067811865475,0.7071067811865475,0.1816901138162094,5
eval__dice,feat__uncertainty_cluster__high_uncertainty_threshold,0.39999999999999997,0.39999999999999997,0.5046315754686912,5
eval__dice,feat__uncertainty_cluster__high_uncertainty_component_count,0.6,0.6,0.28475697986529386,5
eval__dice,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,-0.7999999999999999,0.7999999999999999,0.10408803866182788,5
eval__dice,feat__uncertainty_cluster__high_uncertainty_small_component_count,0.6668859288553503,0.6668859288553503,0.21889398131323148,5
eval__dice,feat__topology_risk__component_count,0.6668859288553503,0.6668859288553503,0.21889398131323148,5
eval__dice,feat__topology_risk__largest_component_area_frac,-0.7,0.7,0.1881204043741873,5
eval__dice,feat__topology_risk__small_component_count,0.0,0.0,1.0,5
eval__dice,feat__topology_risk__mean_component_area_frac,-0.49999999999999994,0.49999999999999994,0.3910022189557703,5
eval__dice,feat__topology_risk__component_area_cv,0.0,0.0,1.0,5
eval__dice,feat__topology_risk__mean_eccentricity,-0.6,0.6,0.28475697986529386,5
eval__dice,feat__topology_risk__mean_solidity,0.19999999999999998,0.19999999999999998,0.7470600781046621,5
eval__dice,feat__topology_risk__euler_number,0.6668859288553503,0.6668859288553503,0.21889398131323148,5
eval__dice,feat__topology_risk__threshold_component_count_std,0.8999999999999998,0.8999999999999998,0.03738607346849875,5
eval__dice,feat__topology_risk__threshold_area_frac_std,0.0,0.0,1.0,5
eval__dice,feat__topology_risk__threshold_euler_std,0.7,0.7,0.1881204043741873,5
eval__dice,feat__anatomical_topological_consistency__opening_residual_frac,0.05129891760425771,0.05129891760425771,0.934712848108234,5
eval__dice,feat__anatomical_topological_consistency__closing_residual_frac,-0.7,0.7,0.1881204043741873,5
eval__boundary_dice,feat__global_uncertainty__mean_entropy,0.09999999999999999,0.09999999999999999,0.8728885715695384,5
eval__boundary_dice,feat__global_uncertainty__max_entropy,,,,5
eval__boundary_dice,feat__global_uncertainty__mean_margin_uncertainty,0.09999999999999999,0.09999999999999999,0.8728885715695384,5
eval__boundary_dice,feat__global_uncertainty__max_margin_uncertainty,-0.39999999999999997,0.39999999999999997,0.5046315754686912,5
eval__boundary_dice,feat__global_uncertainty__foreground_area_frac,0.19999999999999998,0.19999999999999998,0.7470600781046621,5
eval__boundary_dice,feat__boundary_risk__pred_boundary_area_frac,0.19999999999999998,0.19999999999999998,0.7470600781046621,5
eval__boundary_dice,feat__boundary_risk__boundary_mean_entropy,-0.3,0.3,0.623837664781073,5
eval__boundary_dice,feat__boundary_risk__boundary_max_entropy,,,,5
eval__boundary_dice,feat__boundary_risk__boundary_mean_margin_uncertainty,-0.3,0.3,0.623837664781073,5
eval__boundary_dice,feat__boundary_risk__boundary_high_entropy_frac,-0.19999999999999998,0.19999999999999998,0.7470600781046621,5
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_area_frac,0.35355339059327373,0.35355339059327373,0.5594043441634877,5
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_threshold,0.19999999999999998,0.19999999999999998,0.7470600781046621,5
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_component_count,0.19999999999999998,0.19999999999999998,0.7470600781046621,5
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,-0.6,0.6,0.28475697986529386,5
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_small_component_count,0.15389675281277312,0.15389675281277312,0.8048288166080632,5
eval__boundary_dice,feat__topology_risk__component_count,0.15389675281277312,0.15389675281277312,0.8048288166080632,5
eval__boundary_dice,feat__topology_risk__largest_component_area_frac,-0.49999999999999994,0.49999999999999994,0.3910022189557703,5
eval__boundary_dice,feat__topology_risk__small_component_count,0.28867513459481287,0.28867513459481287,0.6376180914006019,5
